quarter,n_claims,avg_severity,total_paid,year,quarter_dt,deflator,avg_severity_real,total_paid_real
2014Q4,1242,10668.830869565218,13250687.94,2014,2014-10-01,1.3599493029150824,14509.069103984131,18020263.82714829
2015Q1,2251,14342.795193247446,32285631.98,2015,2015-01-01,1.3582278481012657,19480.78385108166,43851244.448784806
2015Q2,14720,40241.52058695652,592355183.04,2015,2015-04-01,1.3582278481012657,54657.153911144735,804553305.5720506
2015Q3,3920,16423.45374234694,64379938.67,2015,2015-07-01,1.3582278481012657,22306.792234858563,87442625.56064557
2015Q4,13690,26036.76891818846,356443366.49,2015,2015-10-01,1.3582278481012657,35363.86461926103,484131306.6376835
2016Q1,9901,34220.88433087567,338820975.76,2016,2016-01-01,1.3412499999999998,45898.76110878699,454443633.73809993
2016Q2,16014,47160.1985019358,755223418.81,2016,2016-04-01,1.3412499999999998,63253.616240721385,1012943410.4789124
2016Q3,36688,73694.88117368077,2703717800.5,2016,2016-07-01,1.3412499999999998,98843.25937419932,3626361499.9206247
2016Q4,22894,29321.09174543548,671277074.42,2016,2016-10-01,1.3412499999999998,39326.91430356533,900350376.0658249
2017Q1,3211,16623.539187169106,53378184.33,2017,2017-01-01,1.3133414932680538,21832.383779476684,70103784.31589963
2017Q2,6365,29074.975525530244,185062219.22,2017,2017-04-01,1.3133414932680538,38185.37177343201,243049891.33789474
2017Q3,134070,77468.09618162154,10386147655.07,2017,2017-07-01,1.3133414932680538,101742.06511980406,13640558670.61213
2017Q4,2035,16460.851886977885,33497833.59,2017,2017-10-01,1.3133414932680538,21618.7197977078,43994094.788335375
2018Q1,6594,27861.429070367,183718263.29,2018,2018-01-01,1.2819593787335721,35717.22030167717,235519350.66925922
2018Q2,4439,31765.75403694525,141008182.17,2018,2018-04-01,1.2819593787335721,40722.40631020579,180766761.61100355
2018Q3,22878,38760.16536410525,886755063.2,2018,2018-07-01,1.2819593787335721,49688.957509778884,1136783969.9087214
2018Q4,8713,39523.566870193965,344368838.14,2018,2018-10-01,1.2819593787335721,50667.60723024865,441466861.79715645
2019Q1,5717,31351.58853069792,179237031.63,2019,2019-01-01,1.2588971450919046,39468.42529539172,225640987.4137544
2019Q2,10379,35916.61654012911,372778563.07,2019,2019-04-01,1.2588971450919046,45215.32602372921,469289868.8002855
2019Q3,17163,53651.49915224611,920820679.95,2019,2019-07-01,1.2588971450919046,67541.71911266337,1159218525.1306415
2019Q4,2053,22077.4504724793,45325005.82,2019,2019-10-01,1.2588971450919046,27793.239370712112,57059520.42807196
2020Q1,2561,20192.99612651308,51714263.08,2020,2020-01-01,1.2438176197836166,25116.40437837929,64323111.61302936
2020Q2,5234,32020.202653802065,167593740.69,2020,2020-04-01,1.2438176197836166,39827.29224984113,208456047.63566846
